Number,Singer,Song
1,Dusty Springfield,Son of a Preacher Man
2,James Brown,Papa's Got a Brand New Bag
3,Elvis,Suspicious Minds
4,Foundations,Build me up Buttercup
5,Louis Armstrong,We have all the time in the world
6,Monkees,I'm a Believer
7,Supremes,Baby love
8,Bob Dylan,Mr Tambourine Man
9,Nancy Sinatra,Bang Bang (Shot You Down)
10,The Beatles,Yellow Submarine
11,The Beatles,Twist & Shout
12,The Ronettes,Be My Baby
13,Elvis Presley,Can't Help Falling in Love
14,The Beatles,Hey Jude
15,The Beatles,Ob La Di Ob La Da
16,George Baker Selection,Little Green Bag
17,The Beatles,Lucy in the Sky with Diamonds
18,Ben E King,Stand By me
19,Norman Greenbaum,Spirit In the Sky
20,The Monkees,I'm a Believer
21,Manfred Mann,Do Wah Diddy Diddy
22,Herman's Hermits,I'm Into Something Good
23,Sonny & Cher,I Got You Babe
24,The Four Tops,"Reach Out, I'll Be There"
25,The Shadows,Apache
26,Louis Armstrong,What a Wonderful World
27,The Archies,Sugar Sugar
28,The Troggs,Wild Thing
29,Chubby Checker,Lets Twist Again
30,Lulu and the Luvvers,Shout
31,The Swinging Blue Jeans,The Hippy Hippy Shake
32,Aretha Franklin,Respect
33,The Animals,The House of the Rising Sun
34,Booker T and the MGs,Green Onions
35,Wilson Pickett,Land of a Thousand Dances
36,Johnny Kidd and the Pirates,Shakin' All Over
37,The Righteous Brothers,Unchained Melody
38,Otis Redding,The Dock of the Bay
39,The Animals,We've Gotta Get Out of this Place
40,Status Quo,Pictures of Matchstick Men
41,Marvin Gaye,I Heard it Through the Grapevine
42,The Beach Boys,Good Vibrations
43,Roy Orbison,Pretty Woman
44,The Monkees,Daydream Believer
45,Gene Pitney,Something's Gotten Hold of my Heart
46,The Crystals,Then He Kissed Me
47,The Hollies,He Ain't Heavy He's My Brother
48,Percy Sledge,When a Man Loves a Woman
49,Aretha Franklin,I Say a Little Player
50,Desmond Decker and The Aces,Israelites
51,David Bowie,Space Oddity
,,
,,
,Aretha Franklin - Chain of Fools,
,"Big Brother & The Holding Company, Janis Joplin - Piece of My Heart",
,Bob Dylan - I Want You,
,Bob Dylan - Positively 4th Street - Single Version,
,Bob Dylan - Tangled up in Blue,
,Bobbie Gentry - Son Of A Preacher Man,
,Cream - I Feel Free,
,Creedence Clearwater Revival - Born On The Bayou,
,"Crosby, Stills & Nash - Suite_ Judy Blue Eyes - 2005 Remaster",
,"Crosby, Stills, Nash & Young - Teach Your Children",
,Donovan - Hurdy Gurdy Man,
,Dusty Springfield - Son Of A Preacher Man,
,Fleetwood Mac - Albatross,
,Fleetwood Mac - Black Magic Woman,
,"Fleetwood Mac - Oh Well (Pt. 1) - Live 1979, St. Louis, MO",
,Four Tops - Bernadette,
,Frank Sinatra - Summer Wind,
,Glen Campbell - Wichita Lineman - Remastered 2001,
,Jefferson Airplane - Embryonic Journey,
,Jefferson Airplane - White Rabbit,
,Jimi Hendrix - The Wind Cries Mary,
,Joe Cocker - With A Little Help From My Friends,
,Led Zeppelin - Babe I'm Gonna Leave You - 1990 Remaster,
,Simon & Garfunkel - April Come She Will,
,Simon & Garfunkel - I Am a Rock,
,Simon & Garfunkel - The 59th Street Bridge Song (Feelin' Groovy),
,Smith - Baby It's You,
,The Band - The Weight - Remastered 2000,
,The Beach Boys - Sloop John B - Remastered,
,The Beatles - Drive My Car - Remastered 2009,
,The Beatles - I Am The Walrus - Remastered 2009,
,The Beatles - Norwegian Wood (This Bird Has Flown) - Remastered 2009,
,The Beatles - You Never Give Me Your Money - Remastered 2009,
,The Beatles - You've Got To Hide Your Love Away - Remastered 2009,
,The Box Tops - The Letter,
,The Byrds - Turn! Turn! Turn! (To Everything There Is a Season),
,The Doors - Alabama Song (Whisky Bar),
,The Impressions - People Get Ready,
,The Rolling Stones - Ruby Tuesday,
,The Velvet Underground - Sweet Jane,
,The Who - I Can See For Miles - Mono Version,
,The Who - I'm Free,
,Thunderclap Newman - Something in the Air,
,Tommy James & The Shondells - I Think We're Alone Now - Single Version,
,Yusuf _ Cat Stevens - Tea For The Tillerman,
,Yusuf _ Cat Stevens - The First Cut Is The Deepest - Stereo Version,
